/*1.    9.1     The Shawshank Redemption (1994) 502, 588*/
121.    8.2     For a Few Dollars More (1965)   42, 288
122.    8.2     The Wizard of Oz (1939) 100, 486
/*123.  8.2     Heat (1995)       盗火线  141, 082*/
124.    8.2     District 9 (2009)       143, 619
125.    8.2     Strangers on a Train (1951)     33, 376
126.    8.2     Cool Hand Luke (1967)   44, 330
127.    8.2     Donnie Darko (2001)     205, 665
/*128.  8.2     The Sixth Sense (1999)  233, 010*/
129.    8.2     High Noon (1952)        33, 383
130.    8.2     Notorious (1946)        30, 665
131.    8.2     The Deer Hunter (1978)  86, 084
132.    8.2     There Will Be Blood (2007)      127, 414
/*133.  8.2     Snatch. (2000)    偷拐抢骗  168, 812*/
134.    8.2     The General (1926)      19, 446
/*135.  8.2     Kill Bill: Vol. 1 (2003)        225, 470*/
136.    8.2     Annie Hall (1977)       63, 900
137.    8.2     The Big Lebowski (1998) 173, 316
138.    8.2     The Manchurian Candidate (1962) 34, 034
139.    8.2     Platoon (1986)  106, 047
140.    8.1     Yojimbo (1961)  28, 576
141.    8.1     Ran (1985)      33, 842
142.    8.1     Into the Wild (2007)    95, 374
143.    8.1     Ben-Hur (1959)  57, 097
/*144.  8.1     The Lion King (1994)    131, 447*/
145.    8.1     The Wrestler (2008)     89, 317
146.    8.1     The Big Sleep (1946)    28, 323
147.    8.1     Million Dollar Baby (2004)      136, 876
148.    8.1     Toy Story (1995)        145, 105
149.    8.1     Witness for the Prosecution (1957)      17, 564
150.    8.1     It Happened One Night (1934)    24, 459
151.    8.1     Life of Brian (1979)    91, 689
152.    8.1     Butch Cassidy and the Sundance Kid (1969)       56, 184
/*153.  8.1     The Bourne Ultimatum (2007) 谍影重重 3  141, 281*/
154.    8.1     Finding Nemo (2003)     159, 879
155.    8.1     Wild Strawberries (1957)        20, 709
156.    8.1     Trainspotting (1996)    146, 900
/*157.  8.1     Gone with the Wind (1939)       77, 081*/
/*158.  8.1     The Terminator (1984)   174, 883*/
159.    8.1     Stand by Me (1986)      87, 860
160.    8.1     Groundhog Day (1993)    131, 384
161.    8.1     Scarface (1983) 147, 969
/*162.  8.1     The Graduate (1967)     76, 161*/
163.    8.1     The Thing (1982)        76, 400
164.    8.1     Amores Perros (2000)    59, 612
165.    8.1     Kick-Ass (2010) 64, 002
/*166.  8.1     Dog Day Afternoon (1975)        57, 952*/
167.    8.1     Star Trek (2009)        128, 856
168.    8.1     Gandhi (1982)   49, 426
169.    8.1     Ratatouille (2007)      127, 531
170.    8.1     V for Vendetta (2005)   218, 049
171.    8.1     The Wages of Fear (1953)        13, 815
/*172.  8.1     Lock, Stock and Two Smoking Barrels (1998)  两杆大烟枪  122, 454*/
173.    8.1     The Secret in Their Eyes (2009) 14, 447
174.    8.1     Twelve Monkeys (1995)   165, 679
175.    8.1     The Grapes of Wrath (1940)      22, 794
/*176.  8.1     Casino (1995)    赌场风云 105, 662*/
177.    8.1     The Gold Rush (1925)    20, 341
178.    8.1     Grave of the Fireflies (1988)   33, 624
179.    8.1     8½ (1963)      28, 925
180.    8.1     How to Train Your Dragon (2010) 24, 963
181.    8.1     Diabolique (1955)       14, 223
182.    8.1     The Night of the Hunter (1955)  25, 081
183.    8.0     Judgment at Nuremberg (1961)    13, 818
/*184.  8.0     The Incredibles (2004)  超人总动员 154, 492*/
185.    8.0     The Princess Bride (1987)       121, 665
186.    8.0     The Killing (1956)      24, 118
187.    8.0     The Wild Bunch (1969)   30, 400
188.    8.0     Kind Hearts and Coronets (1949) 12, 736
189.    8.0     Children of Men (2006)  153, 584
190.    8.0     The Exorcist (1973)     100, 167
191.    8.0     In Bruges (2008)        93, 749
192.    8.0     Sunrise: A Song of Two Humans (1927)    11, 034
193.    8.0     The Best Years of Our Lives (1946)      16, 967
194.    8.0     The Kid (1921)  13, 543
195.    8.0     Dial M for Murder (1954)        29, 006
196.    8.0     Nights of Cabiria (1957)        10, 695
197.    8.0     The Hustler (1961)      24, 757
/*198.  8.0     Good Will Hunting (1997)  心灵捕手      146, 068*/
199.    8.0     Ed Wood (1994)  72, 497
200.    8.0     Rosemary's Baby (1968)  49, 241
201.    8.0     Harvey (1950)   22, 703
202.    8.0     Big Fish (2003) 137, 443
203.    8.0     King Kong (1933)        37, 855
204.    8.0     Let the Right One In (2008)     53, 354
205.    8.0     A Streetcar Named Desire (1951) 32, 932
